Sampling Period,Municipality,Land use,Heavy metal,Heavy metal concentration (mg/kg DM),Remarks,Year,Sampling date
2010-2014,Montanaire,Mixed forest,zinc,33.1,-,2014,01.04.2014
1985-1989,Santa Maria in Calanca,Coniferous forest,zinc,52.9,-,1988,09.11.1988
1985-1989,Langenthal,Mixed forest,zinc,45.7,-,1989,29.03.1989
2000-2004,Oensingen,Crop cultivation,zinc,66.1,-,2003,19.03.2003
2000-2004,Staffelbach,Mixed forest,zinc,40,-,2004,02.11.2004
2010-2014,Mels,Mixed forest,zinc,48.1,-,2013,04.06.2013
2000-2004,Mels,Mixed forest,zinc,46.2,-,2003,22.09.2003
2010-2014,Schleitheim,Crop cultivation,zinc,98.8,-,2011,01.03.2011
2010-2014,Birwinken,Crop cultivation,zinc,49,-,2013,06.03.2013
2015-2019,Leuggern,Crop cultivation,zinc,41.8,-,2016,18.02.2016
1995-1999,Oensingen,Crop cultivation,zinc,67.2,-,1998,06.01.1998
1990-1994,Mels,Mixed forest,zinc,45.9,-,1993,04.08.1993
1985-1989,Albula/Alvra,Coniferous forest,zinc,22.4,-,1988,28.07.1988
2000-2004,Wald (ZH),Coniferous forest,zinc,44.8,-,2003,15.04.2003
2010-2014,Langenthal,Mixed forest,zinc,43.3,-,2014,10.03.2014
2015-2019,Langenthal,Mixed forest,zinc,52.2,-,2019,11.04.2019
1985-1989,Schleitheim,Crop cultivation,zinc,85.5,-,1986,13.08.1986
2005-2009,Alpthal,Coniferous forest,zinc,87.2,-,2009,03.06.2009
1985-1989,Kiesen,Crop cultivation,zinc,67.5,-,1987,22.06.1987
2000-2004,Alpthal,Coniferous forest,zinc,82.9,-,2004,17.06.2004
2000-2004,Albula/Alvra,Coniferous forest,zinc,22.5,-,2003,18.09.2003
2005-2009,L'Abbaye,Coniferous forest,zinc,97,-,2008,22.05.2008
1990-1994,Koppigen,Crop cultivation,zinc,46.1,-,1991,03.04.1991
1995-1999,Langenthal,Mixed forest,zinc,45.8,-,1999,07.01.1999
2015-2019,Montanaire,Mixed forest,zinc,34.5,-,2019,23.05.2019
1990-1994,Langenthal,Mixed forest,zinc,44.6,-,1994,25.05.1994
2005-2009,Langenthal,Mixed forest,zinc,44.1,-,2009,12.03.2009
2005-2009,Val-de-Ruz,Crop cultivation,zinc,37.3,-,2006,14.09.2006
2015-2019,Val-de-Ruz,Crop cultivation,zinc,34.5,-,2016,15.03.2016
1985-1989,Wald (ZH),Coniferous forest,zinc,48.9,-,1988,06.09.1988
1995-1999,L'Abbaye,Coniferous forest,zinc,97.9,-,1998,19.10.1998
1985-1989,Gsteig,Coniferous forest,zinc,42.8,-,1988,24.08.1988
2000-2004,Domleschg,Crop cultivation,zinc,88.7,-,2003,07.07.2003
1990-1994,Vallon,Crop cultivation,zinc,99.6,-,1992,19.10.1992
2010-2014,Leuggern,Crop cultivation,zinc,41.2,-,2011,23.02.2011
1990-1994,Coldrerio,Crop cultivation,zinc,66.2,-,1993,22.09.1993
1985-1989,Montanaire,Mixed forest,zinc,32.9,-,1989,14.06.1989
2015-2019,Mels,Mixed forest,zinc,57.4,-,2018,29.05.2018
2010-2014,Haute-Ajoie,Crop cultivation,zinc,45,-,2013,15.04.2013
2015-2019,Domleschg,Crop cultivation,zinc,80.2,-,2017,06.03.2017
1985-1989,Mels,Mixed forest,zinc,45.7,-,1988,01.06.1988
2005-2009,Coldrerio,Crop cultivation,zinc,65.6,-,2008,12.02.2008
1990-1994,Haute-Ajoie,Crop cultivation,zinc,40.9,-,1993,17.08.1993
2015-2019,Coldrerio,Crop cultivation,zinc,76.1,-,2018,12.02.2018
1985-1989,Leuggern,Crop cultivation,zinc,37.4,-,1986,20.08.1986
1985-1989,Haute-Ajoie,Crop cultivation,zinc,42.5,-,1988,23.08.1988
2015-2019,Wiedlisbach,Crop cultivation,zinc,63.8,-,2015,16.04.2015
2010-2014,Vallon,Crop cultivation,zinc,103.8,-,2012,20.03.2012
1985-1989,Vouvry,Crop cultivation,zinc,47.5,-,1989,08.11.1989
2000-2004,Coldrerio,Crop cultivation,zinc,66.4,-,2003,13.05.2003
1990-1994,Oensingen,Crop cultivation,zinc,66,-,1993,07.07.1993
2005-2009,Wald (ZH),Coniferous forest,zinc,46.4,-,2008,28.05.2008
1995-1999,Wald (ZH),Coniferous forest,zinc,48.3,-,1998,28.08.1998
2005-2009,Haute-Ajoie,Crop cultivation,zinc,43.2,-,2008,27.02.2008
1995-1999,Montanaire,Mixed forest,zinc,32.9,-,1999,31.03.1999
2005-2009,Wettingen,Mixed forest,zinc,98,-,2009,06.05.2009
2000-2004,Gempen,Crop cultivation,zinc,104.1,-,2003,17.04.2003
1990-1994,Wald (ZH),Coniferous forest,zinc,47.5,-,1993,08.09.1993
1990-1994,Schleitheim,Crop cultivation,zinc,87.6,-,1991,27.03.1991
1985-1989,Stammheim,Mixed forest,zinc,55.8,-,1989,24.05.1989
2010-2014,Koppigen,Crop cultivation,zinc,49.9,-,2011,17.03.2011
2010-2014,Wald (ZH),Coniferous forest,zinc,46.3,-,2013,03.06.2013
2000-2004,Val-de-Ruz,Crop cultivation,zinc,37.1,-,2001,06.09.2001
2005-2009,Ins,Crop cultivation,zinc,46.9,-,2005,16.08.2005
1995-1999,Koppigen,Crop cultivation,zinc,45.5,-,1996,28.02.1996
2005-2009,Möhlin,Crop cultivation,zinc,40,-,2006,20.03.2006
2005-2009,Montanaire,Mixed forest,zinc,33.2,-,2009,01.04.2009
1990-1994,Montanaire,Mixed forest,zinc,33,-,1994,20.09.1994
2005-2009,Wiedlisbach,Crop cultivation,zinc,58.8,-,2005,19.05.2005
2015-2019,Zuzwil (BE),Crop cultivation,zinc,53.5,-,2018,26.03.2018
2005-2009,Gempen,Crop cultivation,zinc,106.3,-,2008,28.02.2008
1985-1989,Campo (Vallemaggia),Coniferous forest,zinc,35.6,-,1988,10.11.1988
2010-2014,Lützelflüh,Crop cultivation,zinc,54,-,2013,15.04.2013
2000-2004,L'Abbaye,Coniferous forest,zinc,91.2,-,2003,05.08.2003
2015-2019,Binningen,Crop cultivation,zinc,48.3,-,2015,09.04.2015
1985-1989,Dübendorf,Crop cultivation,zinc,52,-,1985,30.10.1985
1995-1999,Scuol,Coniferous forest,zinc,39.1,-,1998,17.07.1998
2000-2004,Dübendorf,Crop cultivation,zinc,54.3,-,2000,22.02.2000
2005-2009,Dübendorf,Crop cultivation,zinc,53.2,-,2005,07.07.2005
1985-1989,Gempen,Crop cultivation,zinc,111.2,-,1988,13.04.1988
2000-2004,Campo (Vallemaggia),Coniferous forest,zinc,40.2,-,2003,14.05.2003
2005-2009,Lützelflüh,Crop cultivation,zinc,54.1,-,2008,23.04.2008
1995-1999,Zuzwil (BE),Crop cultivation,zinc,43.2,-,1998,06.01.1998
1985-1989,Zuzwil (BE),Crop cultivation,zinc,41.2,-,1988,18.04.1988
1995-1999,Lützelflüh,Crop cultivation,zinc,53.8,-,1998,05.01.1998
1995-1999,Gempen,Crop cultivation,zinc,105.9,-,1998,25.02.1998
1985-1989,Lützelflüh,Crop cultivation,zinc,49.1,-,1988,24.10.1988
1990-1994,L'Abbaye,Coniferous forest,zinc,94.6,-,1993,27.10.1993
1990-1994,Gempen,Crop cultivation,zinc,111.3,-,1993,28.04.1993
2010-2014,Eschenbach (LU),Crop cultivation,zinc,72.1,-,2011,23.03.2011
1990-1994,Domleschg,Crop cultivation,zinc,95.3,-,1993,04.08.1993
1995-1999,Eschenbach (LU),Crop cultivation,zinc,67,-,1996,06.03.1996
2010-2014,Binningen,Crop cultivation,zinc,50.6,-,2010,03.03.2010
1985-1989,Domleschg,Crop cultivation,zinc,97.4,-,1988,11.08.1988
2010-2014,Domleschg,Crop cultivation,zinc,86.9,-,2013,09.04.2013
2010-2014,Val-de-Ruz,Crop cultivation,zinc,37.4,-,2011,16.03.2011
1995-1999,Visp,Coniferous forest,zinc,44.7,-,1999,01.06.1999
1995-1999,Val-de-Ruz,Crop cultivation,zinc,36.3,-,1996,10.04.1996
1985-1989,Binningen,Crop cultivation,zinc,50.8,-,1985,27.08.1985
1995-1999,Binningen,Crop cultivation,zinc,51.4,-,1995,01.03.1995
2000-2004,Binningen,Crop cultivation,zinc,49.5,-,2000,21.03.2000
1995-1999,Dübendorf,Crop cultivation,zinc,53.8,-,1995,05.04.1995
1995-1999,Campo (Vallemaggia),Coniferous forest,zinc,38.5,-,1998,27.08.1998
2000-2004,Davos,Coniferous forest,zinc,20.8,-,2004,16.06.2004
1990-1994,Campo (Vallemaggia),Coniferous forest,zinc,37.3,-,1993,21.09.1993
2015-2019,Vouvry,Crop cultivation,zinc,51.6,-,2019,19.02.2019
2005-2009,Eschenbach (LU),Crop cultivation,zinc,70.9,-,2006,23.03.2006
2010-2014,Zuzwil (BE),Crop cultivation,zinc,48.4,-,2013,04.03.2013
2000-2004,Zuzwil (BE),Crop cultivation,zinc,45.5,-,2003,08.07.2003
1990-1994,Kiesen,Crop cultivation,zinc,67,-,1992,19.10.1992
1990-1994,Zuzwil (BE),Crop cultivation,zinc,41.9,-,1993,28.04.1993
1985-1989,L'Abbaye,Coniferous forest,zinc,102.2,-,1988,02.11.1988
2000-2004,Wiedlisbach,Crop cultivation,zinc,57.1,-,2000,22.02.2000
2000-2004,Eschenbach (LU),Crop cultivation,zinc,72,-,2001,31.05.2001
1990-1994,Ins,Crop cultivation,zinc,45.7,-,1990,06.03.1990
1990-1994,Dübendorf,Crop cultivation,zinc,50.6,-,1990,13.03.1990
1985-1989,Alpthal,Coniferous forest,zinc,88.5,-,1989,27.06.1989
1995-1999,Alpthal,Coniferous forest,zinc,92.5,-,1999,04.05.1999
2000-2004,Niedermuhlern,Crop cultivation,zinc,55.2,-,2001,05.06.2001
1995-1999,Davos,Coniferous forest,zinc,24.9,-,1999,03.08.1999
1995-1999,Cornol,Crop cultivation,zinc,44.6,-,1998,21.10.1998
2005-2009,Niedermuhlern,Crop cultivation,zinc,54.3,-,2006,04.04.2006
1995-1999,Niedermuhlern,Crop cultivation,zinc,56.3,-,1996,24.04.1996
2005-2009,Zuzwil (BE),Crop cultivation,zinc,48.5,-,2008,21.02.2008
1990-1994,Niedermuhlern,Crop cultivation,zinc,52.9,-,1991,03.04.1991
1985-1989,Cornol,Crop cultivation,zinc,42.6,-,1988,07.07.1988
1990-1994,Eschenbach (LU),Crop cultivation,zinc,71.8,-,1991,26.03.1991
2000-2004,Pailly,Crop cultivation,zinc,40.9,-,2003,05.08.2003
2015-2019,Cornol,Crop cultivation,zinc,51.3,-,2018,27.03.2018
2000-2004,Cornol,Crop cultivation,zinc,43.1,-,2003,06.08.2003
2010-2014,Niedermuhlern,Crop cultivation,zinc,56.2,-,2011,08.03.2011
2000-2004,Lützelflüh,Crop cultivation,zinc,53.5,-,2003,03.06.2003
2015-2019,Lützelflüh,Crop cultivation,zinc,50.9,-,2017,15.03.2017
1990-1994,Lützelflüh,Crop cultivation,zinc,53.4,-,1993,26.04.1993
1995-1999,Pailly,Crop cultivation,zinc,41.1,-,1998,20.10.1998
2005-2009,Campo (Vallemaggia),Coniferous forest,zinc,36.8,-,2008,14.05.2008
2015-2019,Eschenbach (LU),Crop cultivation,zinc,66.9,-,2016,07.07.2016
1990-1994,Alpthal,Coniferous forest,zinc,86.5,-,1994,03.08.1994
1990-1994,Pailly,Crop cultivation,zinc,40,-,1993,27.10.1993
1985-1989,Eschenbach (LU),Crop cultivation,zinc,64.9,-,1986,03.09.1986
1985-1989,Wiedlisbach,Crop cultivation,zinc,62.5,-,1985,29.10.1985
2015-2019,Niedermuhlern,Crop cultivation,zinc,65.7,-,2016,22.03.2016
1985-1989,Niedermuhlern,Crop cultivation,zinc,51,-,1986,07.05.1986
2010-2014,Cornol,Crop cultivation,zinc,44.7,-,2013,15.04.2013
1985-1989,Oberriet (SG),Crop cultivation,zinc,98.4,-,1987,23.09.1987
1990-1994,Wettingen,Mixed forest,zinc,101,-,1994,15.03.1994
1985-1989,Kappelen,Deciduous forest,zinc,51.5,-,1988,31.08.1988
1990-1994,Jussy,Deciduous forest,zinc,48.5,-,1994,05.07.1994
2005-2009,Leuggern,Crop cultivation,zinc,41.8,-,2006,09.08.2006
2000-2004,Wettingen,Mixed forest,zinc,99.5,-,2005,13.09.2005
1995-1999,Hochdorf,Grassland,zinc,57.2,-,1996,06.03.1996
2005-2009,Jussy,Deciduous forest,zinc,48.3,-,2009,11.03.2009
2010-2014,Hochdorf,Grassland,zinc,54.1,-,2011,23.03.2011
1995-1999,Jussy,Deciduous forest,zinc,48.4,-,1999,09.06.1999
1985-1989,Zürich,Mixed forest,zinc,50.4,-,1989,24.05.1989
1995-1999,Landquart,Crop cultivation,zinc,76.9,-,1998,14.05.1998
1985-1989,Ependes (VD),Grassland,zinc,57.4,-,1989,14.06.1989
2015-2019,Ependes (VD),Grassland,zinc,55.4,-,2019,25.03.2019
2000-2004,Surses,Grassland,zinc,61.1,-,2003,03.09.2003
1985-1989,Landquart,Crop cultivation,zinc,78.5,-,1988,12.08.1988
1990-1994,Zürich,Mixed forest,zinc,59.8,-,1994,13.09.1994
1995-1999,Zürich,Mixed forest,zinc,57.4,-,1999,10.03.1999
2005-2009,Zürich,Mixed forest,zinc,56.2,-,2009,27.05.2009
2000-2004,Zürich,Mixed forest,zinc,56.3,-,2004,23.09.2004
1990-1994,Realp,Grassland,zinc,13.4,-,1994,27.07.1994
2005-2009,Landquart,Crop cultivation,zinc,82.1,-,2008,13.02.2008
2005-2009,Payerne,Grassland,zinc,39.8,-,2005,31.05.2005
1995-1999,Küssnacht (SZ),Grassland,zinc,57,-,2005,24.08.2005
2000-2004,Novaggio,Deciduous forest,zinc,67.4,-,2003,14.05.2003
2010-2014,Payerne,Grassland,zinc,40.3,-,2010,04.03.2010
1990-1994,Payerne,Grassland,zinc,40.7,-,1990,06.03.1990
1985-1989,Duggingen,Grassland,zinc,80.7,-,1988,05.07.1988
2005-2009,Novaggio,Deciduous forest,zinc,71,-,2008,15.05.2008
2005-2009,Realp,Grassland,zinc,24.8,-,2009,01.07.2009
1995-1999,Payerne,Grassland,zinc,41,-,1995,12.04.1995
2000-2004,Payerne,Grassland,zinc,40.6,-,2000,04.04.2000
2015-2019,Hochdorf,Grassland,zinc,51.2,-,2016,05.04.2016
2005-2009,Küssnacht (SZ),Grassland,zinc,54.8,-,2015,05.05.2015
2000-2004,Küssnacht (SZ),Grassland,zinc,57.3,-,2010,15.04.2010
1995-1999,Niederlenz,Deciduous forest,zinc,46.4,-,1999,09.03.1999
1995-1999,Nesslau,Grassland,zinc,93.1,-,1999,27.07.1999
2005-2009,Hochdorf,Grassland,zinc,54.7,-,2006,23.03.2006
1985-1989,Niederlenz,Deciduous forest,zinc,45.9,-,1989,26.04.1989
2005-2009,Albula/Alvra,Coniferous forest,zinc,20,-,2008,02.07.2008
1995-1999,Stammheim,Mixed forest,zinc,53.2,-,1999,03.03.1999
1995-1999,Staffelbach,Mixed forest,zinc,38.5,-,1999,10.03.1999
1990-1994,Kappelen,Deciduous forest,zinc,51.1,-,1993,31.08.1993
1995-1999,Schleitheim,Crop cultivation,zinc,90.7,-,1996,23.04.1996
2005-2009,Kappelen,Deciduous forest,zinc,52.2,-,2008,19.06.2008
2005-2009,Mels,Mixed forest,zinc,47.3,-,2008,30.04.2008
1990-1994,Staffelbach,Mixed forest,zinc,39.6,-,1994,09.03.1994
2005-2009,Staffelbach,Mixed forest,zinc,39.2,-,2009,03.04.2009
1995-1999,Mels,Mixed forest,zinc,45.6,-,1998,14.05.1998
1995-1999,Leuggern,Crop cultivation,zinc,38.9,-,1996,20.03.1996
1985-1989,La Brévine,Grassland,zinc,82,-,1989,11.04.1989
1985-1989,Muntogna da Schons,Grassland,zinc,35.2,-,1988,26.07.1988
1995-1999,La Brévine,Grassland,zinc,82,-,1999,23.06.1999
1995-1999,Frauenfeld,Deciduous forest,zinc,52.3,-,1998,31.03.1998
1990-1994,Albula/Alvra,Coniferous forest,zinc,23.5,-,1993,01.07.1993
1995-1999,Staatswald Galm,Mixed forest,zinc,21.4,-,1999,20.04.1999
1990-1994,Muntogna da Schons,Grassland,zinc,38.3,-,1993,01.07.1993
2000-2004,Möhlin,Crop cultivation,zinc,38.9,-,2001,20.08.2001
2000-2004,Erstfeld,Grassland,zinc,97.5,-,2004,14.04.2004
1995-1999,Albula/Alvra,Coniferous forest,zinc,24.5,-,1998,16.07.1998
1995-1999,Ependes (VD),Grassland,zinc,57,-,1999,26.04.1999
2000-2004,Stammheim,Mixed forest,zinc,52.5,-,2004,15.04.2004
2005-2009,Stammheim,Mixed forest,zinc,50.8,-,2009,19.03.2009
1985-1989,Orbe,Deciduous forest,zinc,23.1,-,1989,05.07.1989
2010-2014,Ependes (VD),Grassland,zinc,58.5,-,2014,27.03.2014
1995-1999,Surses,Grassland,zinc,66,-,1998,16.07.1998
2000-2004,Orbe,Deciduous forest,zinc,23.6,-,2004,21.09.2004
2000-2004,Ependes (VD),Grassland,zinc,58,-,2004,09.06.2004
1985-1989,Wettingen,Mixed forest,zinc,95.9,-,1989,26.04.1989
2000-2004,Schleitheim,Crop cultivation,zinc,92.4,-,2001,05.09.2001
1995-1999,Wettingen,Mixed forest,zinc,100,-,1999,09.03.1999
2015-2019,Wald (ZH),Coniferous forest,zinc,47.8,-,2018,05.06.2018
1990-1994,Stammheim,Mixed forest,zinc,56.3,-,1994,11.05.1994
2005-2009,Staatswald Galm,Mixed forest,zinc,23.4,-,2009,27.10.2009
1985-1989,Staatswald Galm,Mixed forest,zinc,23,-,1989,14.06.1989
1985-1989,Staffelbach,Mixed forest,zinc,38.4,-,1989,19.04.1989
1990-1994,Staatswald Galm,Mixed forest,zinc,22.3,-,1994,20.09.1994
2000-2004,Köniz,Crop cultivation,zinc,46.9,-,2001,15.08.2001
2010-2014,Attalens,Grassland,zinc,70.5,-,2013,03.04.2013
1990-1994,Köniz,Crop cultivation,zinc,45.1,-,1991,03.04.1991
1995-1999,Mörschwil,Grassland,zinc,109,-,1998,31.03.1998
2000-2004,Mörschwil,Grassland,zinc,106.3,-,2003,28.05.2003
1995-1999,Duggingen,Grassland,zinc,88.3,-,1998,25.02.1998
2000-2004,Le Cerneux-Péquignot,Grassland,zinc,72.6,-,2004,17.05.2004
2015-2019,Duggingen,Grassland,zinc,92.1,-,2017,21.03.2017
1985-1989,Marthalen,Deciduous forest,zinc,38.3,-,1988,16.11.1988
1990-1994,Duggingen,Grassland,zinc,76.1,-,1993,28.04.1993
1995-1999,Rothenfluh,Deciduous forest,zinc,73.7,-,1999,07.01.1999
2015-2019,Payerne,Grassland,zinc,41,-,2015,16.03.2015
2015-2019,Attalens,Grassland,zinc,61.8,-,2020,04.03.2020
1990-1994,Attalens,Grassland,zinc,62.8,-,1993,03.11.1993
2000-2004,Marthalen,Deciduous forest,zinc,39,-,2003,10.06.2003
1985-1989,Payerne,Grassland,zinc,41,-,1985,16.10.1985
2010-2014,Mörschwil,Grassland,zinc,111.3,-,2013,18.03.2013
2010-2014,Gais,Grassland,zinc,59,-,2014,10.04.2014
2000-2004,Landquart,Crop cultivation,zinc,82,-,2003,12.08.2003
1990-1994,Marthalen,Deciduous forest,zinc,38.5,-,1993,01.09.1993
1985-1989,Attalens,Grassland,zinc,60.5,-,1988,20.07.1988
2015-2019,Landquart,Crop cultivation,zinc,78.2,-,2017,22.02.2017
1990-1994,Le Cerneux-Péquignot,Grassland,zinc,78.7,-,1994,09.11.1994
2000-2004,Attalens,Grassland,zinc,65.7,-,2003,23.04.2003
2005-2009,Le Cerneux-Péquignot,Grassland,zinc,74.7,-,2009,07.05.2009
2010-2014,Duggingen,Grassland,zinc,93.1,-,2013,26.06.2013
2010-2014,Le Cerneux-Péquignot,Grassland,zinc,76.1,-,2014,19.03.2014
2000-2004,Jussy,Deciduous forest,zinc,47.2,-,2004,21.09.2004
1985-1989,Köniz,Crop cultivation,zinc,43.9,-,1986,01.07.1986
2000-2004,Realp,Grassland,zinc,24,-,2004,07.07.2004
1995-1999,Le Cerneux-Péquignot,Grassland,zinc,74.2,-,1999,23.06.1999
2015-2019,La Sarraz,Crop cultivation,zinc,51.9,-,2015,10.03.2015
2005-2009,Duggingen,Grassland,zinc,87.9,-,2008,07.05.2008
2015-2019,Le Cerneux-Péquignot,Grassland,zinc,71.5,-,2019,26.03.2019
2000-2004,Duggingen,Grassland,zinc,81.6,-,2003,17.04.2003
1995-1999,Attalens,Grassland,zinc,63.5,-,1998,04.03.1998
1990-1994,Ependes (VD),Grassland,zinc,58.1,-,1994,27.09.1994
1985-1989,Le Cerneux-Péquignot,Grassland,zinc,69.6,-,1989,11.04.1989
1990-1994,Orbe,Deciduous forest,zinc,23,-,1994,27.09.1994
1990-1994,Hochdorf,Grassland,zinc,56.9,-,1991,26.03.1991
2005-2009,Aadorf,Grassland,zinc,82.1,-,2009,18.03.2009
2005-2009,Ernen,Grassland,zinc,66.7,-,2009,24.04.2009
1985-1989,Ebikon,Grassland,zinc,91.3,-,1989,29.03.1989
2005-2009,La Sarraz,Crop cultivation,zinc,54.2,-,2005,31.05.2005
2005-2009,Glarus Nord,Grassland,zinc,108.6,-,2006,27.03.2006
2005-2009,Bettlach,Deciduous forest,zinc,53.8,-,2008,18.06.2008
2000-2004,Ernen,Grassland,zinc,66.8,-,2004,20.04.2004
1985-1989,Hochdorf,Grassland,zinc,58.2,-,1986,14.10.1986
1990-1994,Novaggio,Deciduous forest,zinc,78.2,-,1993,22.09.1993
1985-1989,Realp,Grassland,zinc,23.1,-,1989,19.09.1989
1995-1999,Ernen,Grassland,zinc,67.4,-,1999,07.07.1999
1995-1999,Novaggio,Deciduous forest,zinc,88.4,-,1998,27.08.1998
1995-1999,Realp,Grassland,zinc,14.9,-,1999,07.07.1999
1990-1994,Ebikon,Grassland,zinc,88.8,-,1994,22.03.1994
2000-2004,Ebikon,Grassland,zinc,93,-,2004,31.03.2004
1985-1989,Ernen,Grassland,zinc,65.2,-,1989,09.08.1989
2005-2009,St. Stephan,Grassland,zinc,45.8,-,2008,06.08.2008
2005-2009,Marthalen,Deciduous forest,zinc,38.1,-,2008,10.04.2008
2005-2009,Attalens,Grassland,zinc,66.8,-,2008,12.03.2008
2000-2004,Rothenfluh,Deciduous forest,zinc,78.7,-,2004,19.08.2004
1990-1994,Mörschwil,Grassland,zinc,104,-,1993,03.08.1993
1995-1999,Köniz,Crop cultivation,zinc,44.5,-,1996,06.06.1996
1985-1989,Novaggio,Deciduous forest,zinc,87.3,-,1988,11.11.1988
1995-1999,Marthalen,Deciduous forest,zinc,40,-,1998,30.06.1998
2005-2009,Mörschwil,Grassland,zinc,110.8,-,2008,13.02.2008
1985-1989,Mörschwil,Grassland,zinc,94.2,-,1988,04.08.1988
2015-2019,Mörschwil,Grassland,zinc,111.2,-,2018,14.03.2018
2015-2019,Ebikon,Grassland,zinc,100.4,-,2019,28.02.2019
1985-1989,Bettlach,Deciduous forest,zinc,52.1,-,1988,22.06.1988
1990-1994,Bettlach,Deciduous forest,zinc,52,-,1993,18.08.1993
1990-1994,Niederlenz,Deciduous forest,zinc,46.8,-,1994,15.03.1994
2000-2004,Hochdorf,Grassland,zinc,52.6,-,2001,31.05.2001
1995-1999,Ebikon,Grassland,zinc,92.8,-,1999,06.01.1999
2005-2009,Ebikon,Grassland,zinc,98.6,-,2009,09.04.2009
2010-2014,Ebikon,Grassland,zinc,98.9,-,2014,11.03.2014
1995-1999,Bettlach,Deciduous forest,zinc,52,-,1998,08.01.1998
2010-2014,Wartau,Special crops,zinc,57.5,-,2012,29.03.2012
2010-2014,Sant'Antonino,Special crops,zinc,77,-,2013,29.01.2013
2015-2019,Wartau,Special crops,zinc,63.8,-,2016,05.04.2016
2005-2009,Sant'Antonino,Special crops,zinc,74.6,-,2008,12.02.2008
1990-1994,Etoy,Crop cultivation,zinc,46.4,-,1993,03.11.1993
2005-2009,St. Moritz,Protected sites,zinc,40,-,2008,21.08.2008
1990-1994,St. Moritz,Protected sites,zinc,49.2,-,1993,11.11.1993
2000-2004,Nyon,Special crops,zinc,78,-,2003,13.03.2003
1995-1999,St. Moritz,Protected sites,zinc,50,-,1998,16.07.1998
1995-1999,Wartau,Special crops,zinc,53.8,-,1997,15.10.1997
2015-2019,Nyon,Special crops,zinc,93.8,-,2018,07.02.2018
2015-2019,Sant'Antonino,Special crops,zinc,85.7,-,2018,13.02.2018
2010-2014,Nyon,Special crops,zinc,83.2,-,2013,27.05.2013
2000-2004,Aristau,Protected sites,zinc,79.4,-,2004,23.09.2004
1995-1999,Nyon,Special crops,zinc,80,-,1998,16.04.1998
1990-1994,Sant'Antonino,Special crops,zinc,75.6,-,1993,22.09.1993
1990-1994,Aristau,Protected sites,zinc,77.1,-,1994,22.03.1994
1990-1994,Nyon,Special crops,zinc,83.1,-,1993,03.11.1993
1985-1989,Aristau,Protected sites,zinc,78.8,-,1989,03.05.1989
2015-2019,Ins,Crop cultivation,zinc,49.5,-,2015,17.03.2015
2000-2004,Dällikon,Special crops,zinc,59.3,-,2003,24.06.2003
1995-1999,Mathod,Special crops,zinc,42.3,-,1998,04.03.1998
2010-2014,Mathod,Special crops,zinc,51.1,-,2013,02.04.2013
1990-1994,Birwinken,Crop cultivation,zinc,48.8,-,1993,03.08.1993
2010-2014,La Neuveville,Special crops,zinc,107.6,-,2010,21.04.2010
1985-1989,Lugano,Urban park,zinc,150.3,-,1989,10.05.1989
1995-1999,Conthey,Special crops,zinc,55.4,-,1995,26.09.1995
1990-1994,Mathod,Special crops,zinc,42.5,-,1993,27.10.1993
1985-1989,Zernez,Protected sites,zinc,83.1,-,1988,09.08.1988
1995-1999,Birwinken,Crop cultivation,zinc,51.4,-,1998,31.03.1998
1985-1989,Nyon,Special crops,zinc,81.1,-,1988,21.04.1988
1985-1989,St. Moritz,Protected sites,zinc,83.6,-,1988,08.11.1988
2005-2009,Nyon,Special crops,zinc,81,-,2008,21.05.2008
2000-2004,Birwinken,Crop cultivation,zinc,48.9,-,2003,10.06.2003
1995-1999,Vouvry,Crop cultivation,zinc,48.1,-,1999,26.04.1999
2015-2019,Mathod,Special crops,zinc,62,-,2018,02.05.2018
1990-1994,Dällikon,Special crops,zinc,62.6,-,1993,23.06.1993
1990-1994,Zernez,Protected sites,zinc,84.4,-,1993,30.06.1993
1995-1999,Entlebuch,Grassland,zinc,47.4,-,1998,18.03.1998
1995-1999,Unterschächen,Grassland,zinc,103.8,-,1999,04.05.1999
1995-1999,Sant'Antonino,Special crops,zinc,75.4,-,1998,17.03.1998
1990-1994,La Sarraz,Crop cultivation,zinc,53.9,-,1990,06.03.1990
2010-2014,La Sarraz,Crop cultivation,zinc,54.4,-,2010,17.03.2010
1985-1989,Chamoson,Special crops,zinc,100.3,-,1989,31.10.1989
2005-2009,Wartau,Special crops,zinc,58.1,-,2007,05.04.2007
2005-2009,Aristau,Protected sites,zinc,77.6,-,2009,19.03.2009
1985-1989,Sant'Antonino,Special crops,zinc,72.7,-,1988,13.12.1988
1995-1999,Aristau,Protected sites,zinc,76.7,-,1999,06.01.1999
2000-2004,Clos du Doubs,Deciduous forest,zinc,60.8,-,2003,10.09.2003
1985-1989,Unterschächen,Grassland,zinc,101,-,1989,20.09.1989
2010-2014,Wiedlisbach,Crop cultivation,zinc,60.2,-,2010,18.03.2010
1985-1989,Erstfeld,Grassland,zinc,96.8,-,1989,11.05.1989
1990-1994,Clos du Doubs,Deciduous forest,zinc,55.2,-,1993,17.08.1993
2000-2004,Neuchâtel,Grassland,zinc,73.1,-,2010,21.04.2010
2000-2004,Bettlach,Deciduous forest,zinc,54.9,-,2003,30.09.2003
2015-2019,Unterschächen,Grassland,zinc,119.8,-,2020,16.04.2020
